asset_id,path,category,creator_or_source,creation_method,modifications,license_basis,public_use_status,sha256
moon-cat-approved-master,art/source/moon-cat/approved-master.png,source-image,OpenAI Image 2 via Codex,complete-character generation,chroma-key removal; green despill; transparent edge cleanup; high-quality resize to 2048 px,original generated and modified work created for this project,approved,6f5b3bbe9fc01a816897ee41741b9761710adaf38f9dab617f16d25e0ca15fbe
moon-cat-layered-master,art/source/moon-cat/layered-master.ora,editable-source,Codex,semantic layer package assembled from the approved master,8 named same-canvas layers; merged preview; thumbnail,derived only from the approved original project artwork,approved,22df05ce445810b99732276f5670b1b6315c4cea4deb2b7cce75f0afacbd0d72
moon-cat-rig,art/source/moon-cat/rig.json,rig-data,Codex,hand-authored animation layer manifest,pivots; ordering; parent linkage; blend modes; conservative motion limits,original project-authored data for approved original artwork,approved,62e9893db5c772e95d51c25edca8bb4607c0385fd51042c7adbf820793107b4d
moon-cat-layer-body,art/source/moon-cat/layers/body.png,source-layer,Codex,semantic extraction from approved master,neck; back; limb; and tail-root overlap preservation,derived only from the approved original project artwork,approved,bae7c160e6a90ba95a1fe8aed77deb4d717725cbe39bc5179eb3a52cc1f305d2
moon-cat-layer-ear-left,art/source/moon-cat/layers/ear-left.png,source-layer,Codex,semantic extraction from approved master,ear-root overlap prepared for independent sway,derived only from the approved original project artwork,approved,73ec3929dcc2f058d48323e3d7cef4ee844673cf134c6b1b668b309d237c83e9
moon-cat-layer-ear-right,art/source/moon-cat/layers/ear-right.png,source-layer,Codex,semantic extraction from approved master,ear-root overlap prepared for independent sway,derived only from the approved original project artwork,approved,db9aea95adf0a570a79964b282a24aea314a97d37251c2f989810b8f2dcf057a
moon-cat-layer-eyes-closed,art/source/moon-cat/layers/eyes-closed.png,source-layer,Codex,procedural eyelid drawing matched to approved face,transparent blink overlay,derived only from the approved original project artwork,approved,0fa74f66cde6c6d5a38bd21d899fd2b1cb6b814ccda5e80c9c22268140638b47
moon-cat-layer-eyes-open,art/source/moon-cat/layers/eyes-open.png,source-layer,Codex,semantic extraction from approved master,isolated open-eye overlay,derived only from the approved original project artwork,approved,d561e94434bd04fe940bbc861cc2721bef8685346fee0ad52badd4dcd4016fd3
moon-cat-layer-glow,art/source/moon-cat/layers/glow.png,source-layer,Codex,derived soft aura based on approved silhouette,project-authored pale-blue and violet additive glow,derived only from the approved original project artwork,approved,62e301096bbab5acb0074c897938b67f02a8ffc0e5ca2c483316d6347fc7595e
moon-cat-layer-head,art/source/moon-cat/layers/head.png,source-layer,Codex,semantic extraction from approved master,neck overlap and eye underpaint repaired for head motion and blinking,derived only from the approved original project artwork,approved,7c7503a2daa3defc89098e3842ee8f94b0fc19e9207e05ba962cce4523190872
moon-cat-layer-tail,art/source/moon-cat/layers/tail.png,source-layer,Codex,semantic extraction from approved master,tail-root overlap prepared for independent sway,derived only from the approved original project artwork,approved,d008fed68b3cf2a68b64d278cb89195e56effa49128831f4dbcb988beae3a57a
moon-cat-master-contact-sheet,art/reviews/moon-cat-master-contact-sheet.png,review-image,Codex,master review composite,black white and deep-purple edges; shoulder-scale comparison,derived only from the approved original project artwork,approved,895197eb3fba6d916fd9299cf4cfe106388367f62ad566033cf1c2e5f8fdd9b1
moon-cat-layer-review-1x,art/reviews/moon-cat-layer-extremes-1x.png,review-image,Codex,automated layer extreme board,group float and joint extremes on three edge-check backgrounds,derived only from the approved original project artwork,approved,3a4496eff6e3676c1b79af7269c7db15e34338f732b23e852283775a951295ea
moon-cat-layer-review-2x,art/reviews/moon-cat-layer-extremes-2x.png,review-image,Codex,automated enlarged layer extreme board,group float and joint extremes on three edge-check backgrounds,derived only from the approved original project artwork,approved,1ff5792f61e75255d0c7ce7121c2e5a99e8b9967395e79302c243fcf9918c0bb
